,point_id,track_id
0,0,14968
1,1,416
2,2,18574
3,3,1640
4,4,7378
5,5,13051
6,6,15501
7,7,2661
8,8,6480
9,9,3183
10,10,7546
11,11,10451
12,12,13072
13,13,4463
14,14,8164
15,15,6705
16,16,13415
17,17,4909
18,18,12012
19,19,3680
20,20,2645
21,21,3204
22,22,17406
23,23,6774
24,24,14256
25,25,21243
26,26,13279
27,27,15329
28,28,12028
29,29,18478
30,30,17330
31,31,3334
32,32,3734
33,33,4863
34,34,13512
35,35,4735
36,36,760
37,37,20011
38,38,13056
39,39,17415
40,40,430
41,41,2488
42,42,817
43,43,19968
44,44,2095
45,45,8814
46,46,1110
47,47,3711
48,48,6692
49,49,12397
50,50,5002
51,51,5117
52,52,6992
53,53,20420
54,54,3240
55,55,13343
56,56,8616
57,57,9480
58,58,7659
59,59,17664
60,60,1786
61,61,5526
62,62,7570
63,63,21948
64,64,10531
65,65,12381
66,66,18143
67,67,16748
68,68,9504
69,69,21945
70,70,4994
71,71,20487
72,72,19913
73,73,3839
74,74,4971
75,75,13155
76,76,22143
77,77,15789
78,78,13901
79,79,9170
80,80,13009
81,81,3365
82,82,9152
83,83,3489
84,84,9078
85,85,20235
86,86,6178
87,87,10953
88,88,18783
89,89,7280
90,90,19735
91,91,13355
92,92,20943
93,93,13942
94,94,392
95,95,1840
96,96,23856
97,97,17818
98,98,22353
99,99,10435
100,100,13479
101,101,8765
102,102,9641
103,103,6399
104,104,13267
105,105,20553
106,106,2230
107,107,5010
108,108,6015
109,109,17176
110,110,2766
111,111,23501
112,112,16962
113,113,18423
114,114,22611
115,115,2671
116,116,17832
117,117,22548
118,118,2491
119,119,14337
120,120,23865
121,121,10635
122,122,13400
123,123,12492
124,124,18294
125,125,315
126,126,4568
127,127,14063
128,128,10213
129,129,16259
130,130,16648
131,131,14524
132,132,5772
133,133,6600
134,134,6686
135,135,22577
136,136,7388
137,137,11861
138,138,20550
139,139,8992
140,140,9117
141,141,1780
142,142,20336
143,143,10985
144,144,23201
145,145,21636
146,146,19827
147,147,9248
148,148,17706
149,149,13141
150,150,7881
151,151,13969
152,152,8471
153,153,5372
154,154,14712
155,155,17372
156,156,9849
157,157,911
158,158,3245
159,159,9923
160,160,19587
161,161,9401
162,162,5056
163,163,20744
164,164,11420
165,165,4342
166,166,1759
167,167,1683
168,168,11895
169,169,13506
170,170,6559
171,171,20636
172,172,23854
173,173,1785
174,174,2114
175,175,9289
176,176,14918
177,177,17588
178,178,3356
179,179,4083
180,180,9313
181,181,3091
182,182,9488
183,183,1695
184,184,4016
185,185,12564
186,186,13819
187,187,18834
188,188,23406
189,189,18679
190,190,13272
191,191,20413
192,192,6628
193,193,11544
194,194,21844
195,195,13468
196,196,14618
197,197,10943
198,198,5929
199,199,4564
200,200,8498
201,201,22315
202,202,6315
203,203,6385
204,204,13383
205,205,1711
206,206,1807
207,207,16105
208,208,15218
209,209,6690
210,210,12288
211,211,6344
212,212,10503
213,213,507
214,214,7024
215,215,7215
216,216,791
217,217,5120
218,218,15323
219,219,3258
220,220,7526
221,221,20969
222,222,6375
223,223,12911
224,224,16359
225,225,13540
226,226,21972
227,227,13963
228,228,11498
229,229,6329
230,230,8808
231,231,18851
232,232,15189
233,233,8019
234,234,1586
235,235,19877
236,236,2298
237,237,23779
238,238,4723
239,239,14874
240,240,21221
241,241,6542
242,242,10891
243,243,21120
244,244,14768
245,245,14992
246,246,5630
247,247,13531
248,248,22579
249,249,6206
250,250,6675
251,251,14359
252,252,3899
253,253,5652
254,254,6549
255,255,18146
256,256,11129
257,257,13843
258,258,16051
259,259,14287
260,260,10881
261,261,10642
262,262,3176
263,263,10613
264,264,19192
265,265,19271
266,266,17992
267,267,205
268,268,12543
269,269,6322
270,270,11245
271,271,13520
272,272,11880
273,273,416
274,274,13391
275,275,6478
276,276,13170
277,277,2645
278,278,5953
279,279,14182
280,280,3567
281,281,17176
282,282,3297
283,283,1622
284,284,12653
285,285,14830
286,286,13379
287,287,16724
288,288,6705
289,289,20371
290,290,17187
291,291,7098
292,292,15778
293,293,19133
294,294,23364
295,295,17913
296,296,14954
297,297,8420
298,298,817
299,299,15064
300,300,14535
301,301,23837
302,302,18072
303,303,4863
304,304,12785
305,305,8519
306,306,12677
307,307,19910
308,308,17406
309,309,14952
310,310,1879
311,311,8572
312,312,13564
313,313,14937
314,314,13307
315,315,5159
316,316,14649
317,317,3170
318,318,2766
319,319,2916
320,320,21851
321,321,14933
322,322,6774
323,323,22914
324,324,6359
325,325,3628
326,326,1242
327,327,12679
328,328,14625
329,329,9519
330,330,4994
331,331,12936
332,332,9292
333,333,13212
334,334,22721
335,335,17554
336,336,22149
337,337,15132
338,338,5176
339,339,13523
340,340,6383
341,341,9419
342,342,9336
343,343,20500
344,344,17718
345,345,7599
346,346,22339
347,347,16963
348,348,20814
349,349,23797
350,350,20320
351,351,21361
352,352,20794
353,353,9752
354,354,6356
355,355,9864
356,356,13155
357,357,19880
358,358,10618
359,359,12754
360,360,22691
361,361,5134
362,362,23078
363,363,18820
364,364,2095
365,365,3522
366,366,835
367,367,9145
368,368,15329
369,369,819
370,370,6398
371,371,2422
372,372,8077
373,373,760
374,374,20808
375,375,6469
376,376,13491
377,377,18591
378,378,14521
379,379,13500
380,380,13279
381,381,6725
382,382,7222
383,383,13291
384,384,8049
385,385,20050
386,386,12075
387,387,3240
388,388,21645
389,389,2387
390,390,13443
391,391,11243
392,392,8369
393,393,5053
394,394,4977
395,395,9448
396,396,3227
397,397,8306
398,398,12947
399,399,17497
400,400,12999
401,401,20452
402,402,11436
403,403,6341
404,404,13203
405,405,9078
406,406,12668
407,407,4473
408,408,7822
409,409,2784
410,410,17018
411,411,15368
412,412,12188
413,413,15520
414,414,6346
415,415,8814
416,416,13759
417,417,22018
418,418,14382
419,419,4735
420,420,11
421,421,1360
422,422,10994
423,423,11265
424,424,12764
425,425,3204
426,426,420
427,427,16385
428,428,19527
429,429,2549
430,430,5855
431,431,6015
432,432,20106
433,433,12646
434,434,3711
435,435,2655
436,436,3226
437,437,3773
438,438,7002
439,439,6301
440,440,1304
441,441,6623
442,442,13459
443,443,16269
444,444,16591
445,445,8345
446,446,14616
447,447,6575
448,448,1554
449,449,2430
450,450,17415
451,451,8581
452,452,6497
453,453,1603
454,454,3193
455,455,13415
456,456,432
457,457,9744
458,458,17485
459,459,5219
460,460,8616
461,461,20496
462,462,10009
463,463,7295
464,464,3146
465,465,208
466,466,13455
467,467,6667
468,468,4503
469,469,7409
470,470,3376
471,471,5583
472,472,16563
473,473,14945
474,474,5733
475,475,9904
476,476,22991
477,477,430
478,478,6688
479,479,21731
480,480,13213
481,481,19372
482,482,9452
483,483,19395
484,484,9342
485,485,13503
486,486,4211
487,487,6283
488,488,13473
489,489,14907
490,490,12043
491,491,7570
492,492,392
493,493,17818
494,494,13516
495,495,21384
496,496,6590
497,497,12687
498,498,12863
499,499,6389
500,500,1640
501,501,16339
502,502,385
503,503,20336
504,504,10931
505,505,12350
506,506,18019
507,507,17932
508,508,3183
509,509,21945
510,510,6315
511,511,13479
512,512,9152
513,513,20550
514,514,20712
515,515,18960
516,516,457
517,517,5120
518,518,6666
519,519,13468
520,520,5117
521,521,23379
522,522,13343
523,523,19675
524,524,9042
525,525,18574
526,526,5772
527,527,1702
528,528,8791
529,529,18783
530,530,6187
531,531,10024
532,532,15971
533,533,23191
534,534,6299
535,535,10891
536,536,13612
537,537,19877
538,538,21833
539,539,22016
540,540,15407
541,541,7163
542,542,15152
543,543,11764
544,544,12655
545,545,4898
546,546,8895
547,547,11978
548,548,15009
549,549,13355
550,550,15189
551,551,13395
552,552,6344
553,553,8819
554,554,8958
555,555,16256
556,556,19738
557,557,3300
558,558,8590
559,559,14337
560,560,828
561,561,13512
562,562,5051
563,563,20969
564,564,2383
565,565,13400
566,566,17664
567,567,19772
568,568,13383
569,569,22065
570,570,11528
571,571,20092
572,572,13273
573,573,21799
574,574,23263
575,575,3245
576,576,1521
577,577,23297
578,578,7084
579,579,13904
