,point_id,track_id
0,0,1697
1,1,1698
2,2,1699
3,3,1700
4,4,1701
5,5,1702
6,6,1703
7,7,0
8,8,1
9,9,2
10,10,1704
11,11,3
12,12,1705
13,13,1706
14,14,1707
15,15,1708
16,16,1709
17,17,1710
18,18,4
19,19,5
20,20,1711
21,21,1712
22,22,6
23,23,1713
24,24,1714
25,25,1715
26,26,1716
27,27,7
28,28,1717
29,29,8
30,30,9
31,31,1718
32,32,1719
33,33,1720
34,34,1721
35,35,10
36,36,1722
37,37,1723
38,38,11
39,39,1724
40,40,1725
41,41,1726
42,42,12
43,43,1727
44,44,1728
45,45,1729
46,46,1730
47,47,13
48,48,14
49,49,1731
50,50,15
51,51,1732
52,52,1733
53,53,1734
54,54,1735
55,55,1736
56,56,16
57,57,17
58,58,1737
59,59,18
60,60,19
61,61,20
62,62,1738
63,63,1739
64,64,21
65,65,22
66,66,23
67,67,1740
68,68,1741
69,69,1742
70,70,24
71,71,1743
72,72,1744
73,73,1745
74,74,1746
75,75,1747
76,76,25
77,77,1748
78,78,1749
79,79,1750
80,80,26
81,81,1751
82,82,1752
83,83,27
84,84,1753
85,85,1754
86,86,28
87,87,29
88,88,30
89,89,31
90,90,32
91,91,1755
92,92,1756
93,93,1757
94,94,1758
95,95,1759
96,96,33
97,97,1760
98,98,1761
99,99,1762
100,100,1763
101,101,34
102,102,1764
103,103,35
104,104,1765
105,105,1766
106,106,1767
107,107,36
108,108,37
109,109,1768
110,110,1769
111,111,1770
112,112,1771
113,113,38
114,114,1772
115,115,1773
116,116,1774
117,117,1775
118,118,1776
119,119,39
120,120,40
121,121,41
122,122,1777
123,123,1778
124,124,42
125,125,43
126,126,44
127,127,1779
128,128,1780
129,129,1781
130,130,45
131,131,46
132,132,47
133,133,48
134,134,1782
135,135,1783
136,136,49
137,137,50
138,138,1784
139,139,51
140,140,1785
141,141,1786
142,142,52
143,143,1787
144,144,1788
145,145,1789
146,146,53
147,147,54
148,148,1790
149,149,1791
150,150,55
151,151,1792
152,152,56
153,153,57
154,154,1793
155,155,58
156,156,1794
